task_id,title,gemma12b_lat,gemma12b_tps,qwen30b_lat,qwen30b_tps,qwennext_lat,qwennext_tps
dw1,Stakeholder update email,21.15,46.5,10.6,115.6,3.02,58.9
dw2,Messy notes -> action items table,42.1,45.6,5.76,108.0,7.46,71.6
dw3,Rewrite blunt Slack msg for execs,23.48,46.5,3.28,113.0,1.39,66.2
dw4,RICE prioritization,42.88,45.9,5.76,109.6,9.32,75.2
or1,Goal -> plan -> JSON tasks -> risks,33.66,46.3,11.76,108.1,6.61,71.6
or2,Strict JSON extraction (schema),14.58,46.3,3.53,110.5,1.21,57.9
or3,Tool-routing decision (agentic),20.34,45.8,4.37,111.5,2.42,67.4
lc1,Python: parse CSV + chart,38.99,45.2,6.53,108.5,7.98,67.2
lc2,SQL from schema,34.14,45.3,4.28,109.9,2.94,61.9
lc3,Explain + refactor snippet,21.87,45.8,4.15,109.8,2.49,60.2
lc4,Regex + test cases,22.95,46.9,5.38,109.3,6.19,65.6
sum1,Summarize long PRD (256K ctx),40.43,44.1,8.77,99.7,11.37,53.2
sum2,Condense support thread,19.01,46.1,4.23,117.0,2.55,49.8
sum3,Extract decisions from transcript,21.29,43.8,6.01,106.9,4.25,61.4
